Date,Open,High,Low,Close,Adj Close,Volume
2018-04-19,5.980000,5.980000,5.870000,5.930000,5.455096,5418963
2018-04-20,5.940000,6.050000,5.920000,6.010000,5.528689,4839290
2018-04-23,5.980000,5.980000,5.900000,5.900000,5.427499,4798735
2018-04-24,5.920000,5.970000,5.840000,5.910000,5.436697,7766106
2018-04-26,5.910000,5.930000,5.840000,5.850000,5.381503,11264859
2018-04-27,5.810000,5.820000,5.655000,5.690000,5.234316,15883332
2018-04-30,5.720000,5.790000,5.690000,5.770000,5.307909,6921787
2018-05-01,5.770000,5.850000,5.760000,5.800000,5.335508,7314890
2018-05-02,5.970000,6.290000,5.970000,6.270000,5.767868,18020493
2018-05-03,6.230000,6.325000,6.140000,6.170000,5.675876,15419684
2018-05-04,6.160000,6.350000,6.120000,6.310000,5.804664,20778182
2018-05-07,6.390000,6.450000,6.360000,6.430000,5.915053,6416615
2018-05-08,6.420000,6.430000,6.240000,6.270000,5.767868,6186643
2018-05-09,6.360000,6.370000,6.290000,6.320000,5.813863,3978309
2018-05-10,6.260000,6.310000,6.120000,6.170000,5.675876,8980366
2018-05-11,6.170000,6.170000,6.100000,6.110000,5.620681,8404909
2018-05-14,6.160000,6.280000,6.140000,6.280000,5.777067,5854250
2018-05-15,6.250000,6.310000,6.150000,6.290000,5.786266,5673751
2018-05-16,6.290000,6.390000,6.290000,6.340000,5.832262,4622597
2018-05-17,6.360000,6.420000,6.310000,6.340000,5.832262,5194474
2018-05-18,6.350000,6.370000,6.300000,6.330000,5.823062,5872961
2018-05-21,6.340000,6.370000,6.300000,6.320000,5.813863,3923697
2018-05-22,6.330000,6.390000,6.320000,6.350000,5.841460,3593047
2018-05-23,6.370000,6.440000,6.275000,6.280000,5.777067,5933215
2018-05-24,6.260000,6.390000,6.250000,6.370000,5.859859,4733806
2018-05-25,6.260000,6.385000,6.230000,6.270000,5.767868,4203265
2018-05-28,6.320000,6.350000,6.275000,6.300000,5.795465,11041646
2018-05-29,6.300000,6.440000,6.290000,6.430000,5.915053,4860005
2018-05-30,6.370000,6.490000,6.360000,6.410000,5.896655,7595855
2018-05-31,6.410000,6.550000,6.345000,6.350000,5.841460,7523113
2018-06-01,6.320000,6.450000,6.270000,6.380000,5.869059,4322159
2018-06-04,6.400000,6.430000,6.340000,6.340000,5.832262,2494905
2018-06-05,6.400000,6.400000,6.305000,6.320000,5.813863,4069434
2018-06-06,6.330000,6.430000,6.310000,6.400000,5.887456,5619749
2018-06-07,6.400000,6.530000,6.330000,6.500000,5.979448,6495903
2018-06-08,6.460000,6.500000,6.450000,6.480000,5.961050,3024586
2018-06-12,6.520000,6.580000,6.460000,6.570000,6.043842,10999128
2018-06-13,6.550000,6.570000,6.490000,6.550000,6.025444,7956447
2018-06-14,6.540000,6.590000,6.430000,6.450000,5.933452,4855261
2018-06-15,6.430000,6.490000,6.350000,6.460000,5.942651,10955799
2018-06-18,6.480000,6.510000,6.430000,6.500000,5.979448,3673041
2018-06-19,6.460000,6.565000,6.455000,6.480000,5.961050,3853073
2018-06-20,6.510000,6.570000,6.500000,6.560000,6.034643,4934075
2018-06-21,6.690000,6.730000,6.620000,6.710000,6.172630,10531478
2018-06-22,6.700000,6.700000,6.515000,6.550000,6.025444,7259883
2018-06-25,6.540000,6.660000,6.510000,6.610000,6.080639,4522042
2018-06-26,6.530000,6.540000,6.440000,6.460000,5.942651,5028829
2018-06-27,6.360000,6.380000,6.270000,6.330000,5.823062,6986817
2018-06-28,6.260000,6.270000,6.160000,6.160000,5.666677,6520252
2018-06-29,6.170000,6.200000,6.100000,6.160000,5.666677,6108500
2018-07-02,6.170000,6.210000,6.130000,6.160000,5.666677,3742072
2018-07-03,6.190000,6.335000,6.180000,6.310000,5.804664,6886506
2018-07-04,6.310000,6.320000,6.200000,6.240000,5.740270,3084585
2018-07-05,6.290000,6.430000,6.290000,6.370000,5.859859,3992233
2018-07-06,6.410000,6.550000,6.390000,6.530000,6.007046,5992194
2018-07-09,6.540000,6.585000,6.505000,6.520000,5.997847,4447878
2018-07-10,6.580000,6.670000,6.550000,6.630000,6.099037,4231865
2018-07-11,6.640000,6.660000,6.540000,6.540000,6.016244,4267493
2018-07-12,6.580000,6.640000,6.540000,6.600000,6.071439,3784460
